Parcela_ID,Malla16k,Malla1k,Malla2k,Malla4k,Malla8k,COMUNA,NOM_COMUNA,NOM_PROVIN,PROVINCIA,NOM_REGION,REGION,latitude,longitude
434917,0,1,0,0,0,13108,INDEPENDENCIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.42518882798225,-70.6715862957879
435094,0,1,0,0,0,13108,INDEPENDENCIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41620567514105,-70.66260314294671
435093,0,1,0,0,0,13108,INDEPENDENCIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.41620567514105,-70.6715862957879
435269,0,1,0,0,0,13108,INDEPENDENCIA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.40722252229985,-70.6715862957879
432713,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.65361999010551
432712,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.66484893115701
432711,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.6738320839982
432874,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53298666207659,-70.65361999010551
432872,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53298666207659,-70.6738320839982
433036,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52400350923539,-70.65361999010551
433035,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52400350923539,-70.66260314294671
433034,0,1,0,0,0,13109,LA CISTERNA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52400350923539,-70.6738320839982
432233,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.56891927344137,-70.61095001410985
432399,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.56218190881047,-70.56828003811418
432398,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.56218190881047,-70.57726319095536
432397,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.58849213200685
432396,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.59972107305835
432395,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55993612060018,-70.61095001410985
432560,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55319875596928,-70.56828003811418
432558,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55095296775898,-70.58849213200685
432556,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.55095296775898,-70.61095001410985
432727,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.50315218001549
432724,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.53459321495968
432723,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.54582215601117
432722,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.55705109706267
432721,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.56603424990386
432720,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54421560312808,-70.57726319095536
432719,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.58849213200685
432718,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.59972107305835
432717,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.54196981491778,-70.61095001410985
432890,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53523245028689,-70.4806942979125
432888,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53523245028689,-70.50315218001549
432886,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53523245028689,-70.52336427390819
432884,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53523245028689,-70.54582215601117
432882,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53523245028689,-70.56603424990386
432880,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53298666207659,-70.58849213200685
432878,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.53298666207659,-70.61095001410985
433053,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.46946535686102
433052,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.4806942979125
433051,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.491923238964
433050,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.50315218001549
433049,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.51213533285669
433048,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.52336427390819
433047,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.53459321495968
433046,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.54582215601117
433045,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.55705109706267
433044,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.56603424990386
433043,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52624929744569,-70.57726319095536
433042,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52400350923539,-70.58849213200685
433041,0,1,0,0,0,13110,LA FLORIDA,SANTIAGO,131,REGIÓN METROPOLITANA DE SANTIAGO,13,-33.52400350923539,-70.59972107305835
